Indicador,Peso,Tipo
producao_informacoesComplementares_orientacaoAndamento_supervisaoPosDoutorado,0.0,
producao_informacoesComplementares_orientacaoAndamento_trabalhoConclusaoCursoGraduacao,0.0,
producao_producaoTecnica_cursoCurtaDuracaoMinistrado_total,0.0,
producao_producaoTecnica_cursoCurtaDuracaoMinistrado_extensao,0.0,
producao_producaoTecnica_trabalhosTecnicos_elaboracaoProjeto,0.0,
producao_producaoTecnica_trabalhosTecnicos_parecer,0.0,
producao_producaoTecnica_trabalhosTecnicos_assessoria,0.0,
producao_producaoTecnica_trabalhosTecnicos_outra,0.0,
producao_producaoTecnica_desenvolvimentoMaterialDidadicoInstrucional,0.0,
producao_producaoTecnica_midiasSociaisWebsiteBlogs_blog,0.0,
producao_producaoTecnica_outra,0.0,
producao_producaoBibliografica_trabalhoPublicadoAnaisEvento_resumoExpandido_local,0.0,
producao_producaoBibliografica_artigoPublicadoPeriodico_completo_b2_outro,0.0,
producao_producaoBibliografica_artigoPublicadoPeriodico_completo_b3_outro,0.0,
producao_producaoBibliografica_artigoPublicadoPeriodico_completo_a3_portugues,0.0,
producao_producaoBibliografica_artigoPublicadoPeriodico_completo_b4_outro,0.0,
producao_producaoBibliografica_artigoPublicadoPeriodico_completo_a4_portugues,0.0,
producao_producaoArtisticaCultural_total,2.0,2
producao_producaoArtisticaCultural_outra,0.0,
projetos_alunosEnvolvidos_especializacao,0.0,
projetos_pesquisa_alunosEnvolvidos_especializacao,0.0,
projetos_pesquisa_concluido_alunosEnvolvidos_especializacao,0.0,
projetos_desenvolvimentoTecnologico_alunosEnvolvidos_mestradoAcademico,0.0,
projetos_desenvolvimentoTecnologico_concluido_alunosEnvolvidos_mestradoAcademico,0.0,
projetos_outro_totalComoCoordenadorSemFinanciamento,0.0,
projetos_outro_emAndamento_totalComoCoordenadorSemFinanciamento,0.0,
formacaoComplementar_outros_total,0.0,
formacaoComplementar_outros_concluido,0.0,
nivelBolsista_pq_1c,0.0,
